feature,mean_abs_shap
customer_age,0.8998533
income,0.68300045
housing_status_BA,0.6566017
device_os_windows,0.521383
phone_home_valid,0.46805295
current_address_months_count,0.38656187
proposed_credit_limit,0.38359922
email_is_free,0.30745986
keep_alive_session,0.30068976
date_of_birth_distinct_emails_4w,0.2784188
has_other_cards,0.27119675
name_email_similarity,0.23513362
bank_months_count,0.2196842
zip_count_4w,0.18618008
prev_address_months_count,0.17720427
employment_status_CA,0.16010876
month,0.15133247
payment_type_AC,0.13880087
bank_branch_count_8w,0.12800618
device_os_linux,0.11278064
intended_balcon_amount,0.11170733
credit_risk_score,0.10137457
session_length_in_minutes,0.095637694
velocity_24h,0.09091491
days_since_request,0.08853843
velocity_4w,0.075049005
housing_status_BC,0.072121136
device_os_other,0.06852446
payment_type_AB,0.061326247
payment_type_AD,0.053221706
housing_status_BB,0.052576013
payment_type_AA,0.039611984
housing_status_BE,0.038175095
device_os_macintosh,0.036262672
employment_status_CC,0.035310026
device_distinct_emails_8w,0.026241357
velocity_6h,0.025782788
employment_status_CB,0.020536503
phone_mobile_valid,0.020209773
housing_status_BD,0.0065500364
foreign_request,0.004619116
employment_status_CF,0.0036986482
device_os_x11,0.0010908794
employment_status_CD,0.0010610832
source_INTERNET,0.0005795077
employment_status_CE,0.0004795328
housing_status_BF,0.00038131772
source_TELEAPP,7.745062e-06
retr_total_neighbors,0.0
retr_local_fraud_rate,0.0
retr_fraud_neighbors,0.0
retr_similarity_mean,0.0
employment_status_CG,0.0
housing_status_BG,0.0
payment_type_AE,0.0
device_fraud_count,0.0
retr_similarity_max,0.0
